"1,3,5-三(3,5-间二羧基苯基)苯5'-(3,5-dicarboxyphenyl)-[1,1':3',1''-terphenyl]-3,3'',5,5''-tetracarboxylicacid",/1228047-99-1分子式：C30H18O12分子量：570.45672,/1228047-99-1分子式：C30H18O12分子量：570.45672,1228047-99-1
"1,3,5-三(3,5’-二羧基[1,1’-联苯]-4-基)苯1,3,5-tris(3′,5′-dicarboxy[1,1′-biphenyl]-4-yl)benzene",/1126896-14-7分子式：C48H30O12分子量：798.7446,/1126896-14-7分子式：C48H30O12分子量：798.7446,1126896-14-7
"5',5'''-双(4-羧基苯基)-5''-(4,4''-二羧基-[1,1':3',1''-三联苯]-5'-基)-[1,1':3',1'':3'',1''':3''',1''''-五苯基]-4,4''''-二羧酸5',5'''-bis(4-carboxyphenyl)-5''-(4,4''-dicarboxy[1,1':3',1''-terphenyl]-5'-yl)-[1,1':3',1'':3'',1''':3''',1''''-Quinquephenyl]-4,4''''-dicarboxylic acid",/1331745-95-9分子式：C66H42O12分子量：1027.03248,/1331745-95-9分子式：C66H42O12分子量：1027.03248,1331745-95-9
"1,3,5-三(3,5-二羧酸酯-对联苯)苯1,?3,?5-?tris(3,?5-?dicarboxylate-?p-?biphenylene)?benzene",/1333127-74-4分子式：C66H42O12分子量：1027.03248,/1333127-74-4分子式：C66H42O12分子量：1027.03248,1333127-74-4
"1,3,5-三(3,5-二羧基苯基乙炔基)苯1,3,5-tris(3,5-dicarboxyphenylethynyl)benzene",/1173285-13-6分子式：C36H18O12分子量：642.52092,/1173285-13-6分子式：C36H18O12分子量：642.52092,1173285-13-6
"1,1':3',1''-terphenyl]-3,3'',5,5',5''-pentacarboxylic acid1,1':3',1''-terphenyl]-3,3'',5,5',5''-pentacarboxylic acid",/1618682-19-1分子式：C23H14O10分子量：450.35126,/1618682-19-1分子式：C23H14O10分子量：450.35126,1618682-19-1
"2,3',3'',5,5',5''-三联苯六羧酸[1,1':4',1''-Terphenyl]-2',3,3'',5,5',5''-hexacarboxylic acid",/1542274-12-3分子式：C24H14O12分子量：494.36076,/1542274-12-3分子式：C24H14O12分子量：494.36076,1542274-12-3
"1,3-Benzenedicarboxylic acid, 5,5',5'',5'''-[1,2,4,5-benzenetetrayltetrakis(methyleneoxy)]tetrakis-1,3-Benzenedicarboxylic acid, 5,5',5'',5'''-[1,2,4,5-benzenetetrayltetrakis(methyleneoxy)]tetrakis-",/1330041-38-7分子式：C42H30O20分子量：854.6756,/1330041-38-7分子式：C42H30O20分子量：854.6756,1330041-38-7
"苯六酸Benzene-1,2,3,4,5,6-hexacarboxylic acid",/517-60-2分子式：C12H6O12分子量：342.16884469986,/517-60-2分子式：C12H6O12分子量：342.16884469986,517-60-2
"1,3,5-三(3,5-间二羧基苯基)苯5'-(3,5-dicarboxyphenyl)-[1,1':3',1''-terphenyl]-3,3'',5,5''-tetracarboxylicacid",/1228047-99-1分子式：C30H18O12分子量：570.45672,/1228047-99-1分子式：C30H18O12分子量：570.45672,1228047-99-1
"1,3,5-三(3,5’-二羧基[1,1’-联苯]-4-基)苯1,3,5-tris(3′,5′-dicarboxy[1,1′-biphenyl]-4-yl)benzene",/1126896-14-7分子式：C48H30O12分子量：798.7446,/1126896-14-7分子式：C48H30O12分子量：798.7446,1126896-14-7
"5',5'''-双(4-羧基苯基)-5''-(4,4''-二羧基-[1,1':3',1''-三联苯]-5'-基)-[1,1':3',1'':3'',1''':3''',1''''-五苯基]-4,4''''-二羧酸5',5'''-bis(4-carboxyphenyl)-5''-(4,4''-dicarboxy[1,1':3',1''-terphenyl]-5'-yl)-[1,1':3',1'':3'',1''':3''',1''''-Quinquephenyl]-4,4''''-dicarboxylic acid",/1331745-95-9分子式：C66H42O12分子量：1027.03248,/1331745-95-9分子式：C66H42O12分子量：1027.03248,1331745-95-9
"1,3,5-三(3,5-二羧酸酯-对联苯)苯1,?3,?5-?tris(3,?5-?dicarboxylate-?p-?biphenylene)?benzene",/1333127-74-4分子式：C66H42O12分子量：1027.03248,/1333127-74-4分子式：C66H42O12分子量：1027.03248,1333127-74-4
"1,3,5-三(3,5-二羧基苯基乙炔基)苯1,3,5-tris(3,5-dicarboxyphenylethynyl)benzene",/1173285-13-6分子式：C36H18O12分子量：642.52092,/1173285-13-6分子式：C36H18O12分子量：642.52092,1173285-13-6
"1,1':3',1''-terphenyl]-3,3'',5,5',5''-pentacarboxylic acid1,1':3',1''-terphenyl]-3,3'',5,5',5''-pentacarboxylic acid",/1618682-19-1分子式：C23H14O10分子量：450.35126,/1618682-19-1分子式：C23H14O10分子量：450.35126,1618682-19-1
"2,3',3'',5,5',5''-三联苯六羧酸[1,1':4',1''-Terphenyl]-2',3,3'',5,5',5''-hexacarboxylic acid",/1542274-12-3分子式：C24H14O12分子量：494.36076,/1542274-12-3分子式：C24H14O12分子量：494.36076,1542274-12-3
"1,3-Benzenedicarboxylic acid, 5,5',5'',5'''-[1,2,4,5-benzenetetrayltetrakis(methyleneoxy)]tetrakis-1,3-Benzenedicarboxylic acid, 5,5',5'',5'''-[1,2,4,5-benzenetetrayltetrakis(methyleneoxy)]tetrakis-",/1330041-38-7分子式：C42H30O20分子量：854.6756,/1330041-38-7分子式：C42H30O20分子量：854.6756,1330041-38-7
"苯六酸Benzene-1,2,3,4,5,6-hexacarboxylic acid",/517-60-2分子式：C12H6O12分子量：342.16884469986,/517-60-2分子式：C12H6O12分子量：342.16884469986,517-60-2
六(4-羧苯基)苯Hexakis(4-?carboxyphenyl)?benzene,/83536-16-7分子式：C48H30O12分子量：798.7446,/83536-16-7分子式：C48H30O12分子量：798.7446,83536-16-7
"六(苯甲酸乙炔基)-苯4,?4',?4'',?4''',?4'''',?4'''''-?(1,?2,?3,?4,?5,?6-?benzenehexaylhexa-?2,?1-?ethynediyl)?hexakis-Benzoic acid",/684216-81-7分子式：C60H30O12分子量：942.873,/684216-81-7分子式：C60H30O12分子量：942.873,684216-81-7
"1,2,3,4,5,6-六(4″-羧基 联苯基)苯[1,1':4',1'':2'',1''':4''',1''''-Quinquephenyl]-4,4''''-dicarboxylic acid, 3'',4'',5'',6''-tetrakis(4'-carboxy[1,1'-biphenyl]-4-yl)-",/1374404-53-1分子式：C84H54O12分子量：1255.32036,/1374404-53-1分子式：C84H54O12分子量：1255.32036,1374404-53-1
"1,4,6-三甲基苯-1,3,5-三甲苯基间苯二甲酸酯2,?4,?6-?tri-?Me benzene-?1,?3,?5-?triyl-?isophthalate",/1374764-27-8分子式：C33H24O12分子量：612.53646,/1374764-27-8分子式：C33H24O12分子量：612.53646,1374764-27-8
"5,5',5''-(((2,4,6-trimethylbenzene-1,3,5-5,5',5''-(((2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene))tris(oxy))triisophthalicacid1,?3-?Benzenedicarboxylicacid,5,?5',?5''-?[(2,?4,?6-?trimethyl-?1,?3,?5-?benzenetriyl)?tris(methyleneoxy)?]?tris-",/1159974-70-5分子式：C36H30O15分子量：702.61,/1159974-70-5分子式：C36H30O15分子量：702.61,1159974-70-5
"1,3,6,8-四(3',5'-二羧基 苯基)芘5,5',5'',5'''-(1,3,6,8-pyrenetetrayl)tetrakis-1,3-Benzenedicarboxylic acid",/1569900-72-6分子式：C48H26O16分子量：858.71044,/1569900-72-6分子式：C48H26O16分子量：858.71044,1569900-72-6
